epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,9208.75,0.46835,0.35506,0.90085,0.69361,0.44035,0.47054,0.31569,0.93803,0.6745,1.13475,0.007327,0.007327,0.007327
83,9321.4,0.46155,0.34075,0.89528,0.78057,0.41259,0.47259,0.31573,0.93908,0.67656,1.13476,0.007294,0.007294,0.007294
84,9433.17,0.45979,0.33985,0.89532,0.63771,0.4181,0.46056,0.31373,0.93452,0.68749,1.12788,0.007261,0.007261,0.007261
85,9545.73,0.47428,0.35922,0.90919,0.57464,0.44216,0.46346,0.31342,0.93772,0.68004,1.13207,0.007228,0.007228,0.007228
86,9657.38,0.46393,0.34772,0.90108,0.70336,0.39964,0.46324,0.31326,0.94157,0.68084,1.13475,0.007195,0.007195,0.007195
87,9769.8,0.46324,0.34384,0.8963,0.74492,0.40485,0.46745,0.31558,0.92894,0.67363,1.12594,0.007162,0.007162,0.007162
88,9881.42,0.46188,0.34068,0.90019,0.58635,0.43371,0.46925,0.31452,0.93648,0.67336,1.13094,0.007129,0.007129,0.007129
89,9994.24,0.45029,0.33523,0.89328,0.62081,0.42879,0.4651,0.31538,0.93276,0.67278,1.12727,0.007096,0.007096,0.007096
90,10106,0.45185,0.33668,0.8934,0.54869,0.45549,0.46755,0.31601,0.93292,0.67164,1.13263,0.007063,0.007063,0.007063
91,10218.9,0.45315,0.33569,0.89644,0.57773,0.45683,0.4722,0.318,0.93654,0.6751,1.12938,0.00703,0.00703,0.00703
92,10330.5,0.44618,0.32885,0.89074,0.62702,0.42467,0.47206,0.3185,0.93093,0.67937,1.12662,0.006997,0.006997,0.006997
93,10443,0.44699,0.33612,0.89303,0.70112,0.4127,0.47233,0.3184,0.92562,0.67132,1.12399,0.006964,0.006964,0.006964
94,10554.6,0.44665,0.33381,0.8923,0.60241,0.45285,0.47246,0.3201,0.92414,0.66477,1.12034,0.006931,0.006931,0.006931
95,10667,0.44125,0.33224,0.88952,0.69866,0.43008,0.47983,0.32565,0.92004,0.66371,1.11906,0.006898,0.006898,0.006898
96,10778.7,0.43924,0.33238,0.88555,0.68003,0.41597,0.47253,0.32254,0.92265,0.66195,1.11853,0.006865,0.006865,0.006865
97,10891.1,0.44558,0.32934,0.89026,0.6653,0.41851,0.47231,0.32128,0.92533,0.6606,1.12339,0.006832,0.006832,0.006832
98,11002.9,0.44151,0.32715,0.88989,0.69911,0.42761,0.4844,0.3271,0.92433,0.65835,1.12286,0.006799,0.006799,0.006799
99,11115.6,0.4343,0.32231,0.88775,0.59076,0.42199,0.46969,0.32494,0.91959,0.66152,1.11879,0.006766,0.006766,0.006766
100,11227.1,0.43054,0.32068,0.88711,0.56623,0.45839,0.47934,0.32502,0.92122,0.65507,1.12202,0.006733,0.006733,0.006733
101,11339.7,0.43583,0.32204,0.88783,0.6562,0.44437,0.48187,0.32828,0.91884,0.66109,1.12059,0.0067,0.0067,0.0067
102,11451.3,0.43572,0.32381,0.888,0.63519,0.4403,0.48199,0.32416,0.92066,0.65864,1.12172,0.006667,0.006667,0.006667
103,11563.9,0.44033,0.32502,0.88907,0.61332,0.45048,0.48262,0.32548,0.9173,0.64968,1.11828,0.006634,0.006634,0.006634
104,11675.7,0.42942,0.3213,0.8848,0.57916,0.459,0.48345,0.32452,0.91671,0.6558,1.11917,0.006601,0.006601,0.006601
105,11788.4,0.43266,0.31916,0.88659,0.75925,0.40889,0.47871,0.32514,0.91837,0.65025,1.12235,0.006568,0.006568,0.006568
106,11900.2,0.43114,0.31805,0.88568,0.7574,0.42245,0.47646,0.32071,0.9169,0.65964,1.12334,0.006535,0.006535,0.006535
107,12012.8,0.42916,0.3169,0.88249,0.65287,0.44939,0.48256,0.32574,0.9192,0.6556,1.12146,0.006502,0.006502,0.006502
108,12124.4,0.42627,0.31208,0.88267,0.72431,0.43062,0.49007,0.32923,0.91792,0.65269,1.11382,0.006469,0.006469,0.006469
109,12237.2,0.42484,0.31276,0.8787,0.67625,0.42863,0.48445,0.33034,0.91645,0.64804,1.11769,0.006436,0.006436,0.006436
110,12348.5,0.426,0.32117,0.88586,0.63363,0.45578,0.48591,0.3252,0.91571,0.65305,1.11962,0.006403,0.006403,0.006403
111,12460.8,0.42362,0.31362,0.88113,0.60105,0.46339,0.49278,0.33075,0.91119,0.64099,1.11126,0.00637,0.00637,0.00637
112,12572.6,0.42146,0.31304,0.88331,0.62444,0.45891,0.48702,0.32855,0.91034,0.64553,1.11201,0.006337,0.006337,0.006337
113,12685.5,0.41964,0.30906,0.8808,0.69867,0.43284,0.49978,0.33316,0.91031,0.64147,1.10852,0.006304,0.006304,0.006304
114,12797.5,0.42187,0.31496,0.88246,0.59649,0.47007,0.49607,0.33282,0.91098,0.64096,1.1111,0.006271,0.006271,0.006271
115,12910,0.42431,0.31329,0.88447,0.57721,0.46684,0.4969,0.3343,0.91154,0.64386,1.10822,0.006238,0.006238,0.006238
116,13021.4,0.41992,0.30992,0.88232,0.61754,0.46531,0.49501,0.33146,0.91329,0.64278,1.11264,0.006205,0.006205,0.006205
117,13134.1,0.41867,0.30823,0.87984,0.64579,0.45326,0.49184,0.33135,0.91607,0.64703,1.11512,0.006172,0.006172,0.006172
118,13245.8,0.41626,0.30631,0.88051,0.59989,0.46245,0.49229,0.33179,0.91039,0.64605,1.11098,0.006139,0.006139,0.006139
119,13358.3,0.41231,0.30577,0.88031,0.65859,0.45043,0.48968,0.33341,0.90769,0.64303,1.10814,0.006106,0.006106,0.006106
120,13469.9,0.41264,0.3048,0.87931,0.71435,0.42388,0.49466,0.33567,0.90348,0.63116,1.10476,0.006073,0.006073,0.006073
121,13582.9,0.41833,0.31099,0.88135,0.66909,0.44429,0.49666,0.33655,0.90124,0.63325,1.1039,0.00604,0.00604,0.00604
122,13694.6,0.41113,0.30182,0.87681,0.67438,0.43997,0.49686,0.33647,0.90308,0.63314,1.10788,0.006007,0.006007,0.006007
123,13807.1,0.41535,0.31008,0.88071,0.57865,0.47961,0.49637,0.33496,0.90331,0.63333,1.1048,0.005974,0.005974,0.005974
124,13918.7,0.41094,0.30215,0.87843,0.55467,0.48347,0.49098,0.33272,0.90097,0.63593,1.10535,0.005941,0.005941,0.005941
125,14031.4,0.40751,0.30196,0.87641,0.61004,0.46388,0.49487,0.33332,0.90173,0.6386,1.10541,0.005908,0.005908,0.005908
126,14142.9,0.40252,0.30356,0.86888,0.57276,0.47046,0.49267,0.33141,0.90213,0.63673,1.10595,0.005875,0.005875,0.005875
127,14255.5,0.40494,0.30356,0.87469,0.55438,0.48702,0.49459,0.33337,0.89953,0.63517,1.10068,0.005842,0.005842,0.005842
128,14367.2,0.40577,0.29773,0.87351,0.55427,0.49099,0.49878,0.3369,0.89848,0.62663,1.10071,0.005809,0.005809,0.005809
129,14479.6,0.40368,0.29672,0.87254,0.61706,0.45767,0.49954,0.33863,0.89944,0.63217,1.10104,0.005776,0.005776,0.005776
130,14591.2,0.40496,0.29691,0.87368,0.57545,0.47649,0.49532,0.33871,0.89712,0.63134,1.09944,0.005743,0.005743,0.005743
131,14703.8,0.39947,0.29504,0.87555,0.72102,0.43385,0.50057,0.34027,0.89834,0.62699,1.10088,0.00571,0.00571,0.00571
132,14815.6,0.40311,0.29974,0.87089,0.67907,0.45754,0.50045,0.34149,0.89846,0.62712,1.1041,0.005677,0.005677,0.005677
133,14928.2,0.40149,0.29386,0.87369,0.61739,0.47463,0.49897,0.34085,0.89478,0.62875,1.10137,0.005644,0.005644,0.005644
134,15040,0.40063,0.29465,0.87218,0.62147,0.47195,0.5057,0.34379,0.89261,0.62284,1.1021,0.005611,0.005611,0.005611
135,15152.5,0.40327,0.29738,0.8733,0.6642,0.47416,0.51312,0.3442,0.89294,0.62146,1.10231,0.005578,0.005578,0.005578
136,15263.8,0.39631,0.29243,0.87053,0.60085,0.49599,0.5104,0.3435,0.89279,0.62394,1.10031,0.005545,0.005545,0.005545
137,15376.2,0.3886,0.28724,0.86893,0.62914,0.48376,0.51091,0.34224,0.89538,0.62754,1.10109,0.005512,0.005512,0.005512
138,15487.5,0.39068,0.28398,0.86988,0.63639,0.47842,0.51228,0.3443,0.89433,0.62389,1.10312,0.005479,0.005479,0.005479
139,15599.8,0.39079,0.28832,0.87262,0.62579,0.49223,0.51635,0.34317,0.89845,0.62464,1.10683,0.005446,0.005446,0.005446
140,15711.5,0.39268,0.28902,0.86972,0.67241,0.4589,0.51124,0.34473,0.89227,0.6159,1.0993,0.005413,0.005413,0.005413
141,15824.3,0.39702,0.29288,0.87124,0.62393,0.46598,0.50572,0.34302,0.89193,0.61875,1.09786,0.00538,0.00538,0.00538
142,15936.1,0.39603,0.28853,0.87116,0.60941,0.48114,0.51063,0.343,0.89081,0.61714,1.09804,0.005347,0.005347,0.005347
143,16048.6,0.378,0.28096,0.8659,0.59815,0.49336,0.51366,0.34556,0.89346,0.6148,1.09929,0.005314,0.005314,0.005314
144,16160.2,0.38635,0.2853,0.86765,0.64476,0.47763,0.51088,0.34321,0.89207,0.61459,1.09665,0.005281,0.005281,0.005281
145,16272.7,0.39098,0.28523,0.86969,0.62576,0.48546,0.51213,0.3461,0.89388,0.61144,1.09804,0.005248,0.005248,0.005248
146,16384.2,0.39269,0.28772,0.8712,0.64768,0.47455,0.51421,0.34683,0.89628,0.61278,1.09865,0.005215,0.005215,0.005215
147,16496.7,0.37844,0.27738,0.86424,0.61145,0.48956,0.51432,0.34907,0.89489,0.61506,1.09834,0.005182,0.005182,0.005182
148,16608.3,0.38928,0.28357,0.86972,0.64028,0.47956,0.51193,0.34756,0.89299,0.61488,1.097,0.005149,0.005149,0.005149
149,16720.8,0.37909,0.2775,0.86284,0.65329,0.48324,0.51256,0.34921,0.89281,0.61227,1.0964,0.005116,0.005116,0.005116
150,16832.3,0.37841,0.27823,0.86375,0.65367,0.48004,0.51565,0.35004,0.88954,0.60931,1.09446,0.005083,0.005083,0.005083
151,16945,0.38389,0.28343,0.86679,0.65026,0.48492,0.51975,0.34999,0.88896,0.60607,1.09446,0.00505,0.00505,0.00505
