epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,18657.4,0.35868,0.26487,0.85165,0.63837,0.45963,0.49852,0.33662,0.90232,0.62618,1.08905,0.004522,0.004522,0.004522
168,18768.6,0.36027,0.26684,0.85301,0.65731,0.45323,0.49772,0.33625,0.90105,0.62836,1.08853,0.004489,0.004489,0.004489
169,18880.7,0.35633,0.26136,0.84993,0.6405,0.46005,0.4999,0.33676,0.90019,0.62907,1.08865,0.004456,0.004456,0.004456
170,18991.9,0.36154,0.26415,0.85091,0.64101,0.45903,0.4995,0.33752,0.90151,0.62938,1.08935,0.004423,0.004423,0.004423
171,19104,0.36216,0.2659,0.85305,0.62457,0.46837,0.49943,0.33833,0.90203,0.6292,1.08852,0.00439,0.00439,0.00439
172,19215.3,0.36254,0.26438,0.85244,0.65885,0.46323,0.50304,0.34044,0.8983,0.62266,1.08604,0.004357,0.004357,0.004357
173,19327.3,0.35815,0.2635,0.8513,0.61558,0.47467,0.50578,0.33958,0.89897,0.62303,1.08738,0.004324,0.004324,0.004324
174,19438.6,0.35744,0.26223,0.85296,0.61344,0.46598,0.50187,0.33986,0.90102,0.6244,1.08894,0.004291,0.004291,0.004291
175,19550.7,0.35674,0.26114,0.85014,0.59639,0.46106,0.49825,0.33967,0.89965,0.62418,1.08744,0.004258,0.004258,0.004258
176,19662,0.35225,0.25897,0.84725,0.61422,0.46229,0.49807,0.33953,0.89974,0.62391,1.088,0.004225,0.004225,0.004225
177,19774.2,0.35309,0.26011,0.8503,0.5921,0.47002,0.50042,0.34015,0.89937,0.62109,1.08918,0.004192,0.004192,0.004192
178,19885.4,0.35662,0.26101,0.85306,0.60592,0.46891,0.50255,0.34066,0.89777,0.61867,1.08782,0.004159,0.004159,0.004159
179,19997.6,0.34793,0.25553,0.85094,0.63556,0.46243,0.50296,0.34132,0.89705,0.62141,1.0863,0.004126,0.004126,0.004126
180,20108.9,0.35323,0.2588,0.84853,0.65457,0.46905,0.50426,0.34185,0.89772,0.62113,1.08719,0.004093,0.004093,0.004093
181,20221.1,0.34422,0.253,0.84746,0.64423,0.47132,0.50515,0.34219,0.89715,0.61875,1.08588,0.00406,0.00406,0.00406
182,20332.5,0.34954,0.25445,0.85008,0.63605,0.46623,0.50647,0.34134,0.89694,0.61895,1.08433,0.004027,0.004027,0.004027
183,20444.7,0.35055,0.25849,0.84996,0.62687,0.46892,0.50283,0.33989,0.89601,0.61661,1.08378,0.003994,0.003994,0.003994
184,20555.9,0.34805,0.25596,0.84799,0.58953,0.47764,0.50064,0.34005,0.89366,0.61486,1.08174,0.003961,0.003961,0.003961
185,20668,0.34793,0.25397,0.84786,0.61085,0.48034,0.50219,0.34015,0.89068,0.61442,1.08134,0.003928,0.003928,0.003928
186,20779.1,0.34373,0.26154,0.84267,0.59502,0.47655,0.50065,0.34107,0.88954,0.61212,1.08102,0.003895,0.003895,0.003895
187,20891.2,0.34676,0.25077,0.84756,0.6163,0.47897,0.50316,0.34291,0.88897,0.61288,1.08028,0.003862,0.003862,0.003862
188,21002.4,0.34471,0.25069,0.84788,0.62249,0.47163,0.50603,0.34426,0.88847,0.61243,1.07937,0.003829,0.003829,0.003829
